Date,PG,IBM,GE,F
1995-05-17,10.095,16.952881,5.088973999999999,5.478611
1995-05-18,9.948694,16.640169,5.000472,5.336924
1995-05-19,9.948694,16.684853,5.000472,5.407768
1995-05-22,10.058425999999999,17.01989,5.055785,5.454998000000001
1995-05-23,10.113284,17.377254,5.10004,5.573072
1995-05-24,10.095,17.176231,5.055785,5.454998000000001
1995-05-25,10.277875,17.287922000000002,5.000472,5.431383
1995-05-26,10.18644,16.975222,4.989408,5.360538
1995-05-30,10.18644,16.550826999999998,5.011536,5.360538
1995-05-31,10.515619000000001,16.617855,5.133228,5.525843
1995-06-01,10.387606,16.841196,5.133228,5.667529
1995-06-02,10.277875,16.774189,5.022598,5.667529
1995-06-05,10.259586,16.305143,5.122164,5.76199
1995-06-06,10.351028,16.327475,5.10004,5.667529
1995-06-07,10.332747,16.059441,5.077912,5.667529
1995-06-08,10.351028,15.970101999999999,5.033661,5.667529
1995-06-09,10.277875,15.925439,4.923031,5.596687
1995-06-12,10.387606,16.126455,5.022598,5.643915
1995-06-13,10.460757000000001,16.394479999999998,5.088973999999999,5.620302
1995-06-14,10.515619000000001,16.617855,5.111102,5.620302
1995-06-15,10.60706,16.617855,5.111102,5.596687
1995-06-16,10.698499,16.550826999999998,5.077912,5.573072
1995-06-19,10.826521000000001,16.751856,5.122164,5.643915
1995-06-20,10.716791,17.4666,5.066848,5.76199
1995-06-21,10.771656,17.354929000000002,5.055785,5.832833
1995-06-22,10.716791,17.421934,5.066848,5.785603
1995-06-23,10.424186,17.62295,5.055785,5.76199
1995-06-26,10.497334,17.555948,5.033661,5.738373
1995-06-27,10.588771000000001,17.042220999999998,5.022598,5.71476
1995-06-28,10.625347999999999,17.176231,5.022598,5.71476
1995-06-29,10.570481,17.332584,4.956222,5.643915
1995-06-30,10.515619000000001,17.153896,5.026204,5.620302
1995-07-03,10.552196,17.444264999999998,5.0875010000000005,5.738373
1995-07-05,10.442469000000001,17.287922000000002,5.148795,5.809216
1995-07-06,10.241302000000001,17.667631,5.260244,6.0453660000000005
1995-07-07,10.095,17.779312,5.349399,6.116209
1995-07-10,10.113284,17.980322,5.327107,6.210668
1995-07-11,10.223015,17.823971,5.260244,6.0925970000000005
1995-07-12,10.241302000000001,18.159014000000003,5.271388,6.1634400000000005
1995-07-13,10.18644,18.538721,5.215667,6.116209
1995-07-14,10.168146,18.561069,5.182231,6.0453660000000005
1995-07-17,10.168146,19.164118,5.304819999999999,6.0453660000000005
1995-07-18,10.168146,19.119453,5.260244,5.856449
1995-07-19,10.116647,18.092003,5.182231,5.691142
