Date,Adj Close,Adj Close,Adj Close
1/3/2000,11357.50977,1455.219971,4131.149902
1/4/2000,10997.92969,1399.420044,3901.689941
1/5/2000,11122.65039,1402.109985,3877.540039
1/6/2000,11253.25977,1403.449951,3727.129883
1/7/2000,11522.55957,1441.469971,3882.620117
1/10/2000,11572.2002,1457.599976,4049.669922
1/11/2000,11511.08008,1438.560059,3921.189941
1/12/2000,11551.09961,1432.25,3850.02002
1/13/2000,11582.42969,1449.680054,3957.209961
1/14/2000,11722.98047,1465.150024,4064.27002
1/18/2000,11560.71973,1455.140015,4130.810059
1/19/2000,11489.36035,1455.900024,4151.290039
1/20/2000,11351.29981,1445.569946,4189.509766
1/21/2000,11251.70996,1441.359985,4235.399902
1/24/2000,11008.16992,1401.530029,4096.080078
1/25/2000,11029.88965,1410.030029,4167.410156
1/26/2000,11032.99023,1404.089966,4069.909912
1/27/2000,11028.01953,1398.560059,4039.560059
1/28/2000,10738.87012,1360.160034,3887.070068
1/31/2000,10940.53027,1394.459961,3940.350098
2/1/2000,11041.04981,1409.280029,4051.97998
2/2/2000,11003.2002,1409.119995,4073.959961
2/3/2000,11013.44043,1424.969971,4210.97998
2/4/2000,10963.79981,1424.369995,4244.140137
2/7/2000,10905.79004,1424.23999,4321.77002
2/8/2000,10957.59961,1441.719971,4427.5
2/9/2000,10699.16016,1411.709961,4363.240234
2/10/2000,10643.62988,1416.829956,4485.629883
2/11/2000,10425.20996,1387.119995,4395.450195
2/14/2000,10519.83984,1389.939941,4418.549805
2/15/2000,10718.08984,1402.050049,4420.77002
2/16/2000,10561.41016,1387.670044,4427.649902
2/17/2000,10514.57031,1388.26001,4548.919922
2/18/2000,10219.51953,1346.089966,4411.740234
2/22/2000,10304.83984,1352.170044,4382.120117
2/23/2000,10225.73047,1360.689941,4550.330078
2/24/2000,10092.62988,1353.430054,4617.649902
2/25/2000,9862.120117,1333.359985,4590.5
2/28/2000,10038.65039,1348.050049,4577.850098
2/29/2000,10128.30957,1366.420044,4696.689941
3/1/2000,10137.92969,1379.189941,4784.080078
3/2/2000,10164.91992,1381.76001,4754.509766
3/3/2000,10367.2002,1409.170044,4914.790039
3/6/2000,10170.5,1391.280029,4904.850098
3/7/2000,9796.030273,1355.619995,4847.839844
3/8/2000,9856.530273,1366.699951,4897.259766
3/9/2000,10010.73047,1401.689941,5046.859863
3/10/2000,9928.820313,1395.069946,5048.620117
3/13/2000,9947.129883,1383.619995,4907.240234
3/14/2000,9811.240234,1359.150024,4706.629883
3/15/2000,10131.41016,1392.140015,4582.620117
3/16/2000,10630.59961,1458.469971,4717.390137
3/17/2000,10595.23047,1464.469971,4798.129883
3/20/2000,10680.24023,1456.630005,4610
3/21/2000,10907.33984,1493.869995,4711.680176
3/22/2000,10866.7002,1500.640015,4864.75
3/23/2000,11119.86035,1527.349976,4940.609863
3/24/2000,11112.71973,1527.459961,4963.029785
3/27/2000,11025.84961,1523.859985,4958.560059
3/28/2000,10936.11035,1507.72998,4833.890137
3/29/2000,11018.71973,1508.52002,4644.669922
3/30/2000,10980.25,1487.920044,4457.890137
3/31/2000,10921.91992,1498.579956,4572.830078
4/3/2000,11221.92969,1505.969971,4223.680176
4/4/2000,11164.83984,1494.72998,4148.890137
4/5/2000,11033.91992,1487.369995,4169.220215
